57,Insert Interval,29.30%,Hard,
58,Length of Last Word,32.10%,Easy,
59,Spiral Matrix II,41.70%,Medium,
60,Permutation Sequence,29.90%,Medium,
61,Rotate List,24.80%,Medium,
62,Unique Paths,43.40%,Medium,
63,Unique Paths II,32.30%,Medium,
64,Minimum Path Sum,41.60%,Medium,
65,Valid Number,13.00%,Hard,
66,Plus One,39.90%,Easy,
67,Add Binary,34.70%,Easy,
68,Text Justification,20.40%,Hard,
69,Sqrt(x),29.20%,Easy,
70,Climbing Stairs,41.60%,Easy,
71,Simplify Path,26.50%,Medium,
72,Edit Distance,33.10%,Hard,
73,Set Matrix Zeroes,36.90%,Medium,
74,Search a 2D Matrix,34.60%,Medium,
75,Sort Colors,39.30%,Medium,
76,Minimum Window Substring,27.30%,Hard,
77,Combinations,42.10%,Medium,
78,Subsets,45.90%,Medium,
79,Word Search,28.40%,Medium,
80,Remove Duplicates from Sorted Array II,37.30%,Medium,
81,Search in Rotated Sorted Array II,32.60%,Medium,
82,Remove Duplicates from Sorted List II,30.30%,Medium,
83,Remove Duplicates from Sorted List,40.50%,Easy,
84,Largest Rectangle in Histogram,28.00%,Hard,
85,Maximal Rectangle,30.10%,Hard,
86,Partition List,34.00%,Medium,
87,Scramble String,29.90%,Hard,
88,Merge Sorted Array,32.60%,Easy,
89,Gray Code,42.80%,Medium,
90,Subsets II,38.90%,Medium,
91,Decode Ways,20.50%,Medium,
92,Reverse Linked List II,31.80%,Medium,
93,Restore IP Addresses,28.80%,Medium,
94,Binary Tree Inorder Traversal,50.70%,Medium,
95,Unique Binary Search Trees II,32.60%,Medium,
96,Unique Binary Search Trees,42.40%,Medium,
97,Interleaving String,25.50%,Hard,
98,Validate Binary Search Tree,24.20%,Medium,
99,Recover Binary Search Tree,31.50%,Hard,
100,Same Tree,48.00%,Easy,
101,Symmetric Tree,40.80%,Easy,
102,Binary Tree Level Order Traversal,43.40%,Medium,
103,Binary Tree Zigzag Level Order Traversal,37.40%,Medium,
104,Maximum Depth of Binary Tree,55.70%,Easy,
105,Construct Binary Tree from Preorder and Inorder Traversal,35.10%,Medium,
106,Construct Binary Tree from Inorder and Postorder Traversal,34.40%,Medium,
107,Binary Tree Level Order Traversal II,42.80%,Easy,
108,Convert Sorted Array to Binary Search Tree,45.30%,Easy,
109,Convert Sorted List to Binary Search Tree,36.30%,Medium,
110,Balanced Binary Tree,38.70%,Easy,
111,Minimum Depth of Binary Tree,33.70%,Easy,
112,Path Sum,35.30%,Easy,
113,Path Sum II,36.30%,Medium,
114,Flatten Binary Tree to Linked List,37.20%,Medium,
115,Distinct Subsequences,32.40%,Hard,
116,Populating Next Right Pointers in Each Node,36.80%,Medium,
117,Populating Next Right Pointers in Each Node II,33.80%,Medium,
118,Pascal's Triangle,40.80%,Easy,
119,Pascal's Triangle II,38.80%,Easy,
120,Triangle,35.50%,Medium,
121,Best Time to Buy and Sell Stock,43.50%,Easy,
122,Best Time to Buy and Sell Stock II,48.30%,Easy,
123,Best Time to Buy and Sell Stock III,30.70%,Hard,
124,Binary Tree Maximum Path Sum,27.40%,Hard,
125,Valid Palindrome,27.60%,Easy,
126,Word Ladder II,15.10%,Hard,
127,Word Ladder,20.40%,Medium,
128,Longest Consecutive Sequence,38.60%,Hard,
129,Sum Root to Leaf Numbers,38.40%,Medium,
130,Surrounded Regions,20.00%,Medium,
131,Palindrome Partitioning,36.30%,Medium,
132,Palindrome Partitioning II,25.20%,Hard,
133,Clone Graph,25.20%,Medium,
134,Gas Station,30.40%,Medium,
135,Candy,25.50%,Hard,
136,Single Number,56.00%,Easy,
137,Single Number II,43.10%,Medium,
138,Copy List with Random Pointer,25.80%,Medium,
139,Word Break,31.90%,Medium,
140,Word Break II,24.80%,Hard,
141,Linked List Cycle,34.90%,Easy,
142,Linked List Cycle II,30.40%,Medium,
143,Reorder List,27.20%,Medium,
144,Binary Tree Preorder Traversal,47.40%,Medium,
145,Binary Tree Postorder Traversal,43.10%,Hard,
146,LRU Cache,20.40%,Hard,
147,Insertion Sort List,34.20%,Medium,
148,Sort List,30.50%,Medium,
149,Max Points on a Line,15.20%,Hard,
150,Evaluate Reverse Polish Notation,28.90%,Medium,
151,Reverse Words in a String,15.70%,Medium,
152,Maximum Product Subarray,27.00%,Medium,
153,Find Minimum in Rotated Sorted Array,41.10%,Medium,
154,Find Minimum in Rotated Sorted Array II,38.10%,Hard,
155,Min Stack,31.90%,Easy,
156,Binary Tree Upside Down,46.50%,Medium,
157,Read N Characters Given Read4,28.60%,Easy,
158,Read N Characters Given Read4 II - Call multiple times,24.60%,Hard,
159,Longest Substring with At Most Two Distinct Characters,43.20%,Hard,
160,Intersection of Two Linked Lists,30.80%,Easy,
161,One Edit Distance,31.50%,Medium,
162,Find Peak Element,39.30%,Medium,
163,Missing Ranges,23.00%,Medium,
164,Maximum Gap,30.40%,Hard,
165,Compare Version Numbers,21.00%,Medium,
166,Fraction to Recurring Decimal,18.20%,Medium,
167,Two Sum II - Input array is sorted,47.30%,Easy,
168,Excel Sheet Column Title,27.60%,Easy,
169,Majority Element,48.60%,Easy,
170,Two Sum III - Data structure design,26.80%,Easy,
171,Excel Sheet Column Number,49.00%,Easy,
172,Factorial Trailing Zeroes,37.00%,Easy,
173,Binary Search Tree Iterator,44.00%,Medium,
174,Dungeon Game,24.60%,Hard,
175,Combine Two Tables,43.00%,Easy,
176,Second Highest Salary,23.50%,Easy,
177,Nth Highest Salary,21.50%,Medium,
178,Rank Scores,30.50%,Medium,
179,Largest Number,23.80%,Medium,
180,Consecutive Numbers,28.30%,Medium,
181,Employees Earning More Than Their Managers,39.90%,Easy,
182,Duplicate Emails,46.80%,Easy,
183,Customers Who Never Order,37.80%,Easy,
184,Department Highest Salary,23.30%,Medium,
185,Department Top Three Salaries,20.30%,Hard,
186,Reverse Words in a String II,31.40%,Medium,
187,Repeated DNA Sequences,33.40%,Medium,
188,Best Time to Buy and Sell Stock IV,25.10%,Hard,
189,Rotate Array,25.80%,Easy,
190,Reverse Bits,29.40%,Easy,
191,Number of 1 Bits,40.60%,Easy,
192,Word Frequency,25.90%,Medium,
193,Valid Phone Numbers,24.70%,Easy,
194,Transpose File,21.70%,Medium,
195,Tenth Line,33.80%,Easy,
196,Delete Duplicate Emails,26.00%,Easy,
197,Rising Temperature,31.40%,Easy,
198,House Robber,40.20%,Easy,
199,Binary Tree Right Side View,43.10%,Medium,
200,Number of Islands,37.10%,Medium,
201,Bitwise AND of Numbers Range,34.60%,Medium,
202,Happy Number,42.10%,Easy,
203,Remove Linked List Elements,33.80%,Easy,
204,Count Primes,26.70%,Easy,
205,Isomorphic Strings,35.00%,Easy,
206,Reverse Linked List,47.60%,Easy,
207,Course Schedule,34.10%,Medium,
208,Implement Trie (Prefix Tree),31.70%,Medium,
209,Minimum Size Subarray Sum,32.50%,Medium,
210,Course Schedule II,30.70%,Medium,
211,Add and Search Word - Data structure design,25.90%,Medium,
212,Word Search II,25.30%,Hard,
213,House Robber II,34.70%,Medium,
214,Shortest Palindrome,25.40%,Hard,
215,Kth Largest Element in an Array,41.40%,Medium,
216,Combination Sum III,47.80%,Medium,
217,Contains Duplicate,47.70%,Easy,
218,The Skyline Problem,29.30%,Hard,
219,Contains Duplicate II,33.00%,Easy,
220,Contains Duplicate III,18.80%,Medium,
221,Maximal Square,30.70%,Medium,
222,Count Complete Tree Nodes,28.00%,Medium,
223,Rectangle Area,34.10%,Medium,
224,Basic Calculator,29.10%,Hard,
225,Implement Stack using Queues,34.70%,Easy,
226,Invert Binary Tree,54.00%,Easy,
227,Basic Calculator II,30.50%,Medium,
228,Summary Ranges,32.70%,Medium,
229,Majority Element II,29.50%,Medium,
230,Kth Smallest Element in a BST,46.00%,Medium,
231,Power of Two,40.90%,Easy,
232,Implement Queue using Stacks,38.50%,Easy,
233,Number of Digit One,29.20%,Hard,
234,Palindrome Linked List,33.70%,Easy,
235,Lowest Common Ancestor of a Binary Search Tree,40.10%,Easy,
236,Lowest Common Ancestor of a Binary Tree,30.10%,Medium,
237,Delete Node in a Linked List,47.60%,Easy,
238,Product of Array Except Self,50.70%,Medium,
239,Sliding Window Maximum,34.50%,Hard,
240,Search a 2D Matrix II,39.10%,Medium,
241,Different Ways to Add Parentheses,46.50%,Medium,
242,Valid Anagram,48.00%,Easy,
243,Shortest Word Distance,54.00%,Easy,
244,Shortest Word Distance II,41.90%,Medium,
245,Shortest Word Distance III,51.60%,Medium,
246,Strobogrammatic Number,40.40%,Easy,
247,Strobogrammatic Number II,41.20%,Medium,
248,Strobogrammatic Number III,32.90%,Hard,
249,Group Shifted Strings,44.90%,Medium,
250,Count Univalue Subtrees,44.40%,Medium,
251,Flatten 2D Vector,41.70%,Medium,
252,Meeting Rooms,49.20%,Easy,
253,Meeting Rooms II,39.70%,Medium,
254,Factor Combinations,43.80%,Medium,
255,Verify Preorder Sequence in Binary Search Tree,41.20%,Medium,
256,Paint House,46.30%,Easy,
257,Binary Tree Paths,42.00%,Easy,
258,Add Digits,52.10%,Easy,
259,3Sum Smaller,42.30%,Medium,
260,Single Number III,53.70%,Medium,
261,Graph Valid Tree,38.60%,Medium,
262,Trips and Users,20.20%,Hard,
263,Ugly Number,39.80%,Easy,
264,Ugly Number II,33.60%,Medium,
265,Paint House II,38.70%,Hard,
266,Palindrome Permutation,58.30%,Easy,
267,Palindrome Permutation II,32.20%,Medium,
268,Missing Number,45.40%,Easy,
269,Alien Dictionary,26.80%,Hard,
270,Closest Binary Search Tree Value,41.00%,Easy,
271,Encode and Decode Strings,26.00%,Medium,
272,Closest Binary Search Tree Value II,40.50%,Hard,
273,Integer to English Words,22.90%,Hard,
274,H-Index,33.90%,Medium,
275,H-Index II,35.20%,Medium,
276,Paint Fence,35.00%,Easy,
277,Find the Celebrity,35.50%,Medium,
278,First Bad Version,26.10%,Easy,
279,Perfect Squares,38.00%,Medium,
280,Wiggle Sort,58.90%,Medium,
281,Zigzag Iterator,53.00%,Medium,
282,Expression Add Operators,30.70%,Hard,
283,Move Zeroes,51.90%,Easy,
284,Peeking Iterator,35.70%,Medium,
285,Inorder Successor in BST,34.80%,Medium,
286,Walls and Gates,45.80%,Medium,
287,Find the Duplicate Number,44.80%,Medium,
288,Unique Word Abbreviation,18.20%,Medium,
289,Game of Life,37.50%,Medium,
290,Word Pattern,33.60%,Easy,
291,Word Pattern II,38.70%,Hard,
292,Nim Game,55.40%,Easy,
293,Flip Game,57.40%,Easy,
294,Flip Game II,47.10%,Medium,
295,Find Median from Data Stream,30.20%,Hard,
296,Best Meeting Point,52.50%,Hard,
297,Serialize and Deserialize Binary Tree,35.50%,Hard,
298,Binary Tree Longest Consecutive Sequence,42.00%,Medium,
299,Bulls and Cows,36.30%,Medium,
300,Longest Increasing Subsequence,39.00%,Medium,
301,Remove Invalid Parentheses,36.00%,Hard,
302,Smallest Rectangle Enclosing Black Pixels,47.00%,Hard,
303,Range Sum Query - Immutable,32.90%,Easy,
304,Range Sum Query 2D - Immutable,27.70%,Medium,
305,Number of Islands II,39.80%,Hard,
306,Additive Number,27.80%,Medium,
307,Range Sum Query - Mutable,23.10%,Medium,
308,Range Sum Query 2D - Mutable,26.60%,Hard,
309,Best Time to Buy and Sell Stock with Cooldown,42.30%,Medium,
310,Minimum Height Trees,29.00%,Medium,
311,Sparse Matrix Multiplication,52.70%,Medium,
312,Burst Balloons,43.90%,Hard,
313,Super Ugly Number,38.50%,Medium,
314,Binary Tree Vertical Order Traversal,38.20%,Medium,
315,Count of Smaller Numbers After Self,35.10%,Hard,
316,Remove Duplicate Letters,30.60%,Hard,
317,Shortest Distance from All Buildings,34.90%,Hard,
318,Maximum Product of Word Lengths,46.10%,Medium,
319,Bulb Switcher,43.10%,Medium,
320,Generalized Abbreviation,46.50%,Medium,
321,Create Maximum Number,24.90%,Hard,
322,Coin Change,26.70%,Medium,
323,Number of Connected Components in an Undirected Graph,49.20%,Medium,
324,Wiggle Sort II,26.50%,Medium,
325,Maximum Size Subarray Sum Equals k,43.10%,Medium,
326,Power of Three,40.90%,Easy,
327,Count of Range Sum,30.90%,Hard,
328,Odd Even Linked List,45.30%,Medium,
329,Longest Increasing Path in a Matrix,37.60%,Hard,
330,Patching Array,32.80%,Hard,
331,Verify Preorder Serialization of a Binary Tree,37.30%,Medium,
332,Reconstruct Itinerary,30.00%,Medium,
333,Largest BST Subtree,31.20%,Medium,
334,Increasing Triplet Subsequence,39.70%,Medium,
335,Self Crossing,26.30%,Hard,
336,Palindrome Pairs,27.30%,Hard,
337,House Robber III,45.00%,Medium,
338,Counting Bits,62.50%,Medium,
339,Nested List Weight Sum,64.10%,Easy,
340,Longest Substring with At Most K Distinct Characters,38.30%,Hard,
341,Flatten Nested List Iterator,43.60%,Medium,
342,Power of Four,39.30%,Easy,
343,Integer Break,46.70%,Medium,
344,Reverse String,60.70%,Easy,
345,Reverse Vowels of a String,39.50%,Easy,
346,Moving Average from Data Stream,60.80%,Easy,
347,Top K Frequent Elements,50.10%,Medium,
348,Design Tic-Tac-Toe,46.30%,Medium,
349,Intersection of Two Arrays,48.50%,Easy,
350,Intersection of Two Arrays II,44.20%,Easy,
351,Android Unlock Patterns,44.60%,Medium,
352,Data Stream as Disjoint Intervals,41.20%,Hard,
353,Design Snake Game,27.40%,Medium,
354,Russian Doll Envelopes,32.60%,Hard,
355,Design Twitter,25.90%,Medium,
356,Line Reflection,30.30%,Medium,
357,Count Numbers with Unique Digits,46.20%,Medium,
358,Rearrange String k Distance Apart,31.60%,Hard,
359,Logger Rate Limiter,61.20%,Easy,
360,Sort Transformed Array,45.20%,Medium,
361,Bomb Enemy,40.60%,Medium,
362,Design Hit Counter,55.50%,Medium,
363,Max Sum of Rectangle No Larger Than K,33.90%,Hard,
364,Nested List Weight Sum II,54.10%,Medium,
365,Water and Jug Problem,28.10%,Medium,
366,Find Leaves of Binary Tree,61.40%,Medium,
367,Valid Perfect Square,38.80%,Easy,
368,Largest Divisible Subset,33.90%,Medium,
369,Plus One Linked List,54.80%,Medium,
370,Range Addition,57.40%,Medium,
371,Sum of Two Integers,50.80%,Easy,
372,Super Pow,34.80%,Medium,
373,Find K Pairs with Smallest Sums,31.50%,Medium,
374,Guess Number Higher or Lower,37.10%,Easy,
375,Guess Number Higher or Lower II,36.20%,Medium,
376,Wiggle Subsequence,36.20%,Medium,
377,Combination Sum IV,43.00%,Medium,
378,Kth Smallest Element in a Sorted Matrix,45.70%,Medium,
379,Design Phone Directory,36.80%,Medium,
380,Insert Delete GetRandom O(1),40.10%,Medium,
381,Insert Delete GetRandom O(1) - Duplicates allowed,29.80%,Hard,
382,Linked List Random Node,47.50%,Medium,
383,Ransom Note,47.90%,Easy,
384,Shuffle an Array,47.40%,Medium,
385,Mini Parser,30.90%,Medium,
386,Lexicographical Numbers,42.60%,Medium,
387,First Unique Character in a String,47.30%,Easy,
388,Longest Absolute File Path,37.50%,Medium,
389,Find the Difference,51.50%,Easy,
390,Elimination Game,42.80%,Medium,
391,Perfect Rectangle,27.50%,Hard,
392,Is Subsequence,44.70%,Medium,
393,UTF-8 Validation,34.80%,Medium,
394,Decode String,42.10%,Medium,
395,Longest Substring with At Least K Repeating Characters,35.70%,Medium,
396,Rotate Function,34.00%,Medium,
397,Integer Replacement,30.50%,Medium,
398,Random Pick Index,44.90%,Medium,
399,Evaluate Division,42.70%,Medium,
400,Nth Digit,30.00%,Easy,
401,Binary Watch,44.80%,Easy,
402,Remove K Digits,25.80%,Medium,
403,Frog Jump,32.80%,Hard,
404,Sum of Left Leaves,47.70%,Easy,
405,Convert a Number to Hexadecimal,41.10%,Easy,
406,Queue Reconstruction by Height,56.70%,Medium,
407,Trapping Rain Water II,37.70%,Hard,
408,Valid Word Abbreviation,28.40%,Easy,
409,Longest Palindrome,46.10%,Easy,
410,Split Array Largest Sum,39.60%,Hard,
411,Minimum Unique Word Abbreviation,33.80%,Hard,
412,Fizz Buzz,57.90%,Easy,
413,Arithmetic Slices,54.40%,Medium,
414,Third Maximum Number,28.20%,Easy,
415,Add Strings,41.80%,Easy,
416,Partition Equal Subset Sum,38.70%,Medium,
417,Pacific Atlantic Water Flow,35.00%,Medium,
418,Sentence Screen Fitting,28.40%,Medium,
419,Battleships in a Board,63.50%,Medium,
420,Strong Password Checker,19.50%,Hard,
421,Maximum XOR of Two Numbers in an Array,48.20%,Medium,
422,Valid Word Square,36.50%,Easy,
423,Reconstruct Original Digits from English,44.80%,Medium,
424,Longest Repeating Character Replacement,42.50%,Medium,
425,Word Squares,42.80%,Hard,
432,All O`one Data Structure,27.90%,Hard,
433,Minimum Genetic Mutation,35.30%,Medium,
434,Number of Segments in a String,36.60%,Easy,
435,Non-overlapping Intervals,41.20%,Medium,
436,Find Right Interval,41.60%,Medium,
437,Path Sum III,40.20%,Easy,
438,Find All Anagrams in a String,34.00%,Easy,
439,Ternary Expression Parser,51.50%,Medium,
440,K-th Smallest in Lexicographical Order,25.80%,Hard,
441,Arranging Coins,36.60%,Easy,
442,Find All Duplicates in an Array,57.40%,Medium,
443,String Compression,35.80%,Easy,
444,Sequence Reconstruction,19.60%,Medium,
445,Add Two Numbers II,46.50%,Medium,
446,Arithmetic Slices II - Subsequence,28.00%,Hard,
447,Number of Boomerangs,47.00%,Easy,
448,Find All Numbers Disappeared in an Array,51.20%,Easy,
449,Serialize and Deserialize BST,43.00%,Medium,
450,Delete Node in a BST,37.60%,Medium,
451,Sort Characters By Frequency,52.10%,Medium,
452,Minimum Number of Arrows to Burst Balloons,44.60%,Medium,
453,Minimum Moves to Equal Array Elements,48.10%,Easy,
454,4Sum II,47.70%,Medium,
455,Assign Cookies,47.30%,Easy,
456,132 Pattern,27.70%,Medium,
457,Circular Array Loop,22.60%,Medium,
458,Poor Pigs,42.40%,Easy,
459,Repeated Substring Pattern,38.30%,Easy,
460,LFU Cache,25.40%,Hard,
461,Hamming Distance,69.50%,Easy,
462,Minimum Moves to Equal Array Elements II,51.70%,Medium,
463,Island Perimeter,58.30%,Easy,
464,Can I Win,25.40%,Medium,
465,Optimal Account Balancing,39.50%,Hard,
466,Count The Repetitions,27.20%,Hard,
467,Unique Substrings in Wraparound String,33.30%,Medium,
468,Validate IP Address,20.50%,Medium,
469,Convex Polygon,34.70%,Medium,
471,Encode String with Shortest Length,43.40%,Hard,
472,Concatenated Words,31.30%,Hard,
473,Matchsticks to Square,35.40%,Medium,
474,Ones and Zeroes,38.80%,Medium,
475,Heaters,29.90%,Easy,
476,Number Complement,61.20%,Easy,
477,Total Hamming Distance,47.60%,Medium,
479,Largest Palindrome Product,25.70%,Easy,
480,Sliding Window Median,30.90%,Hard,
481,Magical String,45.80%,Medium,
482,License Key Formatting,39.40%,Easy,
483,Smallest Good Base,33.90%,Hard,
484,Find Permutation,55.60%,Medium,
485,Max Consecutive Ones,53.80%,Easy,
486,Predict the Winner,45.40%,Medium,
487,Max Consecutive Ones II,45.50%,Medium,
488,Zuma Game,37.20%,Hard,
490,The Maze,43.80%,Medium,
491,Increasing Subsequences,38.90%,Medium,
492,Construct the Rectangle,48.10%,Easy,
493,Reverse Pairs,20.60%,Hard,
494,Target Sum,43.90%,Medium,
495,Teemo Attacking,51.50%,Medium,
496,Next Greater Element I,56.60%,Easy,
498,Diagonal Traverse,45.30%,Medium,
499,The Maze III,34.00%,Hard,
500,Keyboard Row,60.20%,Easy,
501,Find Mode in Binary Search Tree,37.70%,Easy,
502,IPO,36.20%,Hard,
503,Next Greater Element II,48.00%,Medium,
504,Base 7,43.90%,Easy,
505,The Maze II,38.70%,Medium,
506,Relative Ranks,47.10%,Easy,
507,Perfect Number,32.60%,Easy,
508,Most Frequent Subtree Sum,52.50%,Medium,
513,Find Bottom Left Tree Value,56.30%,Medium,
514,Freedom Trail,39.30%,Hard,
515,Find Largest Value in Each Tree Row,55.70%,Medium,
516,Longest Palindromic Subsequence,43.00%,Medium,
517,Super Washing Machines,36.20%,Hard,
518,Coin Change 2,35.80%,Medium,
520,Detect Capital,51.90%,Easy,
521,Longest Uncommon Subsequence I ,55.70%,Easy,
522,Longest Uncommon Subsequence II,32.00%,Medium,
523,Continuous Subarray Sum,23.40%,Medium,
524,Longest Word in Dictionary through Deleting,43.40%,Medium,
525,Contiguous Array,41.60%,Medium,
526,Beautiful Arrangement,53.10%,Medium,
527,Word Abbreviation,44.20%,Hard,
529,Minesweeper,49.60%,Medium,
530,Minimum Absolute Difference in BST,47.80%,Easy,
531,Lonely Pixel I,56.40%,Medium,
532,K-diff Pairs in an Array,28.30%,Easy,
533,Lonely Pixel II,45.30%,Medium,
535,Encode and Decode TinyURL,74.00%,Medium,
536,Construct Binary Tree from String,42.70%,Medium,
537,Complex Number Multiplication,63.90%,Medium,
538,Convert BST to Greater Tree,48.60%,Easy,
539,Minimum Time Difference,46.10%,Medium,
540,Single Element in a Sorted Array,56.00%,Medium,
541,Reverse String II,43.90%,Easy,
542,01 Matrix,33.10%,Medium,
543,Diameter of Binary Tree,45.00%,Easy,
544,Output Contest Matches,71.20%,Medium,
545,Boundary of Binary Tree,32.70%,Medium,
546,Remove Boxes,36.00%,Hard,
547,Friend Circles,49.30%,Medium,
548,Split Array with Equal Sum,37.60%,Medium,
549,Binary Tree Longest Consecutive Sequence II,42.90%,Medium,
551,Student Attendance Record I,44.80%,Easy,
552,Student Attendance Record II,31.70%,Hard,
553,Optimal Division,55.10%,Medium,
554,Brick Wall,46.60%,Medium,
555,Split Concatenated Strings,37.90%,Medium,
556,Next Greater Element III,28.90%,Medium,
557,Reverse Words in a String III,60.70%,Easy,
560,Subarray Sum Equals K,39.90%,Medium,
561,Array Partition I,66.60%,Easy,
562,Longest Line of Consecutive One in Matrix,41.10%,Medium,
563,Binary Tree Tilt,47.10%,Easy,
564,Find the Closest Palindrome,16.90%,Hard,
565,Array Nesting,49.70%,Medium,
566,Reshape the Matrix,57.60%,Easy,
567,Permutation in String,36.20%,Medium,
568,Maximum Vacation Days,36.50%,Hard,
569,Median Employee Salary,38.80%,Hard,
570,Managers with at Least 5 Direct Reports,57.90%,Medium,
571,Find Median Given Frequency of Numbers,42.60%,Hard,
572,Subtree of Another Tree,40.30%,Easy,
573,Squirrel Simulation,52.50%,Medium,
574,Winning Candidate,34.00%,Medium,
575,Distribute Candies,58.20%,Easy,
576,Out of Boundary Paths,30.60%,Medium,
577,Employee Bonus,50.80%,Easy,
578,Get Highest Answer Rate Question,30.30%,Medium,
579,Find Cumulative Salary of an Employee,29.40%,Hard,
580,Count Student Number in Departments,39.20%,Medium,
581,Shortest Unsorted Continuous Subarray,29.40%,Easy,
582,Kill Process,51.40%,Medium,
583,Delete Operation for Two Strings,44.70%,Medium,
584,Find Customer Referee,62.30%,Easy,
585,Investments in 2016,44.70%,Medium,
586,Customer Placing the Largest Number of Orders,60.80%,Easy,
587,Erect the Fence,33.70%,Hard,
588,Design In-Memory File System,36.00%,Hard,
591,Tag Validator,30.90%,Hard,
592,Fraction Addition and Subtraction,46.10%,Medium,
593,Valid Square,40.00%,Medium,
594,Longest Harmonious Subsequence,41.30%,Easy,
595,Big Countries,71.70%,Easy,
596,Classes More Than 5 Students,31.50%,Easy,
597,Friend Requests I: Overall Acceptance Rate,37.70%,Easy,
598,Range Addition II,48.10%,Easy,
599,Minimum Index Sum of Two Lists,46.40%,Easy,
600,Non-negative Integers without Consecutive Ones,31.80%,Hard,
601,Human Traffic of Stadium,33.10%,Hard,
602,Friend Requests II: Who Has the Most Friends,42.10%,Medium,
603,Consecutive Available Seats,53.70%,Easy,
604,Design Compressed String Iterator,33.40%,Easy,
605,Can Place Flowers,30.10%,Easy,
606,Construct String from Binary Tree,50.00%,Easy,
607,Sales Person,51.10%,Easy,
608,Tree Node,54.30%,Medium,
609,Find Duplicate File in System,52.40%,Medium,
610,Triangle Judgement,58.20%,Easy,
611,Valid Triangle Number,42.00%,Medium,
612,Shortest Distance in a Plane,51.10%,Medium,
613,Shortest Distance in a Line,69.90%,Easy,
614,Second Degree Follower,23.20%,Medium,
615,Average Salary: Departments VS Company,33.20%,Hard,
616,Add Bold Tag in String,37.90%,Medium,
617,Merge Two Binary Trees,67.90%,Easy,
618,Students Report By Geography,40.80%,Hard,
619,Biggest Single Number,36.10%,Easy,
620,Not Boring Movies,59.10%,Easy,
621,Task Scheduler,42.40%,Medium,
623,Add One Row to Tree,46.20%,Medium,
624,Maximum Distance in Arrays,35.60%,Easy,
625,Minimum Factorization,31.30%,Medium,
626,Exchange Seats,48.80%,Medium,
627,Swap Salary,67.10%,Easy,
628,Maximum Product of Three Numbers,44.80%,Easy,
629,K Inverse Pairs Array,27.50%,Hard,
630,Course Schedule III,29.40%,Hard,
631,Design Excel Sum Formula,27.90%,Hard,
632,Smallest Range,42.30%,Hard,
633,Sum of Square Numbers,32.50%,Easy,
634,Find the Derangement of An Array,36.00%,Medium,
635,Design Log Storage System,49.30%,Medium,
636,Exclusive Time of Functions,44.50%,Medium,
637,Average of Levels in Binary Tree,56.10%,Easy,
638,Shopping Offers,45.90%,Medium,
639,Decode Ways II,24.30%,Hard,
640,Solve the Equation,38.80%,Medium,
642,Design Search Autocomplete System,30.40%,Hard,
643,Maximum Average Subarray I,37.70%,Easy,
644,Maximum Average Subarray II,25.10%,Hard,
645,Set Mismatch,39.80%,Easy,
646,Maximum Length of Pair Chain,47.40%,Medium,
647,Palindromic Substrings,54.40%,Medium,
648,Replace Words,48.50%,Medium,
